 Time_Seconds Best_Fitness
4060 20305.0 43599.0
4064 20325.0 43599.0
4068 20345.0 43599.0
4072 20365.0 43599.0
4076 20385.0 43599.0
4080 20405.0 43599.0
4084 20425.0 43599.0
4088 20445.0 43599.0
4092 20465.0 43599.0
4096 20485.0 43599.0
4100 20505.0 43599.0
4104 20525.0 43599.0
4108 20545.0 43599.0
4112 20565.0 43599.0
4116 20585.0 43599.0
4120 20605.0 43599.0
4124 20625.0 43599.0
4128 20645.0 43599.0
4132 20665.0 43599.0
4136 20685.0 43599.0
4140 20705.0 43599.0
4144 20725.0 43599.0
4148 20745.0 43599.0
4152 20765.0 43599.0
4156 20785.0 43599.0
4160 20805.0 43599.0
4164 20825.0 43599.0
4168 20845.0 43599.0
4172 20865.0 43599.0
4176 20885.0 43599.0
4180 20905.0 43599.0
4184 20925.0 43599.0
4188 20945.0 43599.0
4192 20965.0 43599.0
4196 20985.0 43599.0
4200 21005.0 43599.0
4204 21025.0 43599.0
4208 21045.0 43599.0
4212 21065.0 43599.0
4216 21085.0 43599.0
4220 21105.0 43599.0
4224 21125.0 43599.0
4228 21145.0 43599.0
4232 21165.0 43599.0
4236 21185.0 43599.0
4240 21205.0 43599.0
4244 21225.0 43599.0
4248 21245.0 43599.0
4252 21265.0 43599.0
4256 21285.0 43599.0
4260 21305.0 43599.0
4264 21325.0 43599.0
4268 21345.0 43599.0
4272 21365.0 43599.0
4276 21385.0 43599.0
4280 21405.0 43599.0
4284 21425.0 43599.0
4288 21445.0 43599.0
4292 21465.0 43599.0
4296 21485.0 43599.0
4300 21505.0 43599.0
4304 21525.0 43599.0
4308 21545.0 43599.0
4312 21565.0 43599.0
4316 21585.0 43599.0
4320 21605.0 43599.0
4324 21625.0 43599.0
4328 21645.0 43599.0
4332 21665.0 43599.0
4336 21685.0 43599.0
4340 21705.0 43599.0
4344 21725.0 43599.0
4348 21745.0 43599.0
4352 21765.0 43599.0
4356 21785.0 43599.0
4360 21805.0 43599.0
4364 21825.0 43599.0
